id,brand,model,year,price,hp,fuel_type,mileage,body_type,transmission,country,url
842c69c7-a7fe-4f8e-bb30-4930e5cd2b3e,Ford,Focus,2015,1599,125,Gasoline,157922,station-wagon,Manual,DE,https://www.autoscout24.com/offers/ford-focus-lim-1-0-eb-sync-edition-gasoline-silver-842c69c7-a7fe-4f8e-bb30-4930e5cd2b3e
0a8d499b-182d-4ae2-8938-314901884d8b,Audi,A3,2015,14590,110,Diesel,116009,station-wagon,Manual,AT,https://www.autoscout24.com/offers/audi-a3-1-6-tdi-ambiente-diesel-black-0a8d499b-182d-4ae2-8938-314901884d8b
a52d3438-90e8-47ff-8591-400c9474ffb0,BMW,125,2015,19440,218,Gasoline,119985,station-wagon,Automatic,NL,https://www.autoscout24.com/offers/bmw-125-1-serie-125i-m-sport-uitlaat-navi-cruise-alcantara-gasoline-black-a52d3438-90e8-47ff-8591-400c9474ffb0
e768d58e-76ff-405a-86bc-4a72c24d041a,Volkswagen,Polo,2015,6999,75,Diesel,123696,station-wagon,Manual,IT,https://www.autoscout24.com/offers/volkswagen-polo-polo-1-4-tdi-comfortline-75cv-e6-garanzia-1-anno-diesel-white-e768d58e-76ff-405a-86bc-4a72c24d041a
